ID,Device ID,Vehicle Type,Trip Duration,Trip Distance,Start Time,End Time,Modified Date,Month,Hour,Day of Week,Council District (Start),Council District (End),Origin Cell ID,Destination Cell ID,Year,Start Latitude,Start Longitude,End Latitude,End Longitude
c9b3ec7e-fee3-41ad-8e78-96ea1919c754,c91dfb4e-d33e-4f78-b2a5-2d13ed3492fb,scooter,355,1589,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014871,014550,2019,30.282,-97.741,30.269,-97.746
d4934bc9-a449-4516-86d9-b14001761c22,4a824a3d-b46a-4ab0-bc53-67e0f97bf3f5,scooter,273,398,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014706,014865,2019,30.266,-97.742,30.27,-97.742
d3b3347c-0f4f-403d-8a1b-1a6ff8b08dc2,a6aee524-5fd8-4293-a437-52618d0df466,scooter,211,988,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014871,014559,2019,30.284,-97.742,30.29,-97.745
6b33e2bf-f072-4d92-93ad-b9c5a7673f15,e9d9d9e3-1596-4377-823d-c401522f6137,scooter,107,217,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014715,014716,2019,30.287,-97.743,30.289,-97.743
be660792-62f0-42bb-8241-41cd77b1f7e1,9120c779-39f3-4206-9b1d-3c170cf7ac88,scooter,505,427,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014550,014235,2019,30.269,-97.746,30.269,-97.75
dfa45445-fa93-41a5-87da-6630af98f44a,3fa837b2-e73f-4744-a10d-ed5fb54dbdec,scooter,245,943,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014393,014864,2019,30.269,-97.748,30.267,-97.741
203a9e2c-5d83-401a-9fb6-818a4efe1923,c831102d-a091-4358-b3cd-0638b5d4bdd9,scooter,199,546,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,3,015021,015492,2019,30.265,-97.739,30.261,-97.732
d897dcc9-cae6-42dc-9a13-eee6e1c1fdb8,8210d4a6-ccdf-490a-bf12-35cc60577004,scooter,206,1018,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,3,3,013906,013588,2019,30.235,-97.756,30.228,-97.761
5eeab8f0-3c70-4d7c-9ade-3600eed5f383,aab61a4c-9fba-45ca-8578-92a52e2c1f57,scooter,202,431,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,015179,015180,2019,30.266,-97.738,30.269,-97.736
bc14fc21-8436-46ae-8412-b71956408f96,27116c05-bc0b-4e0c-ae68-a6937873c79e,scooter,257,923,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,3,014864,015493,2019,30.265,-97.74,30.264,-97.732
3c8ead93-df8d-4eea-9713-984b9297203b,9ba44b15-abeb-4413-9542-b4b2ff2f35ad,scooter,37,61,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014705,014863,2019,30.263,-97.743,30.263,-97.742
c320e721-1162-4e42-b412-b70c1487255a,20e3145c-b6ea-4b3a-8e7a-9c755f51b96d,scooter,243,877,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014402,014718,2019,30.29,-97.748,30.295,-97.744
4db4842a-2957-47d9-9059-50691105cbaa,25ffb1b1-383b-49d9-8d16-00aa3544b0cf,scooter,377,927,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,015018,015179,2019,30.259,-97.738,30.266,-97.737
850c4838-41b8-445c-ac9d-68de70d6cd7d,ecaf9293-c91d-451c-a777-32766c00e9e3,scooter,456,431,02/24/2019 12:30:00 AM,02/24/2019 12:45:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014550,014235,2019,30.269,-97.746,30.269,-97.75
f3e6d83f-6daf-46ef-82f5-6eae7c45fac8,a02cdd3c-1b2f-4734-8f06-160002a20594,scooter,462,1362,02/24/2019 12:30:00 AM,02/24/2019 12:45:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014559,014713,2019,30.29,-97.746,30.281,-97.742
d4da5478-cf88-43c3-96f9-daf90b9fcc7f,ac5c3f8d-834b-4575-a1d6-00464c163c10,scooter,500,891,02/24/2019 12:30:00 AM,02/24/2019 12:45:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014864,014393,2019,30.267,-97.74,30.269,-97.748
cae2ad4b-f9a4-48dc-8bee-fecc1bec316e,b7f41882-668a-4452-ae66-413002d83557,scooter,184,592,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,1,1,016289,016129,2019,30.284,-97.718,30.277,-97.721
5db54b91-a49b-469d-bd58-7859771c952f,c1e9471b-a01b-4916-8492-79c48d337cfb,scooter,147,146,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,9,9,014556,014556,2019,30.282,-97.746,30.283,-97.746
e54af900-79d6-492e-a765-aa307cc17cc4,455811d9-8396-4530-8983-6f2fcf614f30,scooter,149,696,02/24/2019 12:30:00 AM,02/24/2019 12:30:00 AM,02/24/2019 06:47:19 AM,2,0,0,3,3,016279,015807,2019,30.261,-97.72,30.263,-97.727
